Tempo (anos),População de Coelhos (em milhares),População de Linces,k1x,k1y,k2x,k2y
74,40.40231661463177,193.51647358120826,-0.05471143436379966,-7.994680846818927,0.2670801654545906,-7.687840265764563
75,40.820916431495476,186.02972631151826,0.2619494871513536,-7.662804050721661,0.5752501465760561,-7.310690488658358
76,41.546018616963906,178.93499621263913,0.5702793747626336,-7.288474193384999,0.8799249961742212,-6.90098600437326
77,42.576348417600215,172.26181766286146,0.8751670395161099,-6.88076301313446,1.1854925617565086,-6.465594086420879
78,43.91476267832767,166.03369337399747,1.1809905156569347,-6.446666245165808,1.4958380057979672,-6.009582332562189
79,45.56774054102699,160.26978941564968,1.4916222945402098,-5.991365228794474,1.8143334308584407,-5.536442687901104
80,47.54484758842028,154.98642695486842,1.8104159275480405,-5.518450972594615,2.1437981672385344,-5.048273948967931
81,49.85813974909908,150.19841082681017,2.140163469841005,-5.030108108546421,2.486420851516593,-4.545924147570095
82,52.52146437250645,145.9202331267122,2.4830145927241185,-4.527259509049116,2.8436346540906263,-4.029095891146871
83,55.54960703522419,142.16718651625942,2.84034854910884,-4.009674324744525,3.2159367763266395,-3.4964188961609937
84,58.95722363783414,138.95641714875063,3.2125900627632045,-3.47604357701912,3.6026431424566976,-2.9454951579984425
85,62.75748855702749,136.3079407542116,3.5989601658157673,-2.924028810148988,4.001569672570935,-2.372923978929084
86,66.96038213584211,134.24563664352354,3.9971536792910833,-2.350291228222512,4.408633478338165,-1.7743169931535745
87,71.57053676917735,132.7982217076902,4.402937297448678,-1.7505118017621382,4.817371969221798,-1.144318069904552
88,76.58456388990271,132.00018764768762,4.809667344223863,-1.119417727003609,5.218386897226855,-0.4766503930015358
89,81.98779994491835,131.8926564844945,5.207735973597064,-0.4508382074315301,5.598736136434214,0.2357758810452562
90,87.7504463062976,132.52406767022046,5.583971254929098,0.26217621529501306,5.941321467829407,1.000646156156924
91,93.82314747597644,133.95054983903987,5.921043176871692,1.0271206707701943,6.224359162485993,1.8258436668686149
92,100.13216838796363,136.23574643724413,6.196967303158919,1.851618204913181,6.421074520815459,2.7187749914953683
93,106.57451081984644,139.44975442595302,6.384852974878683,2.7427209877345144,6.499831888886928,3.685294989683243
94,113.01356301148826,143.6667029640991,6.453112802075629,3.705809007817417,6.424991581208022,4.728088068474758
95,119.27620388042546,148.96036313171447,6.3664266142116706,4.742949750958053,6.158855123662735,5.844370584272681
96,125.15265071386139,155.39708553343638,6.087814133084504,5.850597592463428,5.665079533787371,7.02284721098039
97,130.40065793126647,163.02539530063234,5.582172975054071,7.016590325043295,4.913841459756087,8.240029209348634
98,134.7557750980141,171.86186588673576,4.821512779546041,8.216587182656664,3.888721553949232,9.456353989550154
99,137.94900192851915,181.8736052250624,3.7917760722447946,9.410429676419168,2.5946775887652773,10.61304900023411
100,139.73205627795446,192.95893889410507,2.500518067764967,10.539393899933874,1.06559063110566,11.631273438151464
